no_transect	length_transect	no_point	dem	x_image	y_image	x_geo	y_geo	elevation	slope	geometry	index_right	id
3	100.00000000004226	23	dem_sample_model.tif	35	28	213263.0942933267	689875.0308671609	1.0	5.05	POINT (14.623693962201818 53.9935565846646)	0.0	1.0
3	100.00000000004226	24	dem_sample_model.tif	36	28	213263.4472140895	689874.0952139478	1.0	20.02	POINT (14.623700212544007 53.99354839296637)	0.0	1.0
3	100.00000000004226	25	dem_sample_model.tif	36	28	213263.80013485232	689873.1595607348	1.0	20.02	POINT (14.623706462883671 53.99354020126774)	0.0	1.0
3	100.00000000004226	26	dem_sample_model.tif	37	28	213264.1530556151	689872.2239075216	2.0	35.47	POINT (14.6237127132208 53.99353200956876)	0.0	1.0
3	100.00000000004226	27	dem_sample_model.tif	37	28	213264.50597637796	689871.2882543085	2.0	35.47	POINT (14.623718963555403 53.99352381786936)	0.0	1.0
3	100.00000000004226	28	dem_sample_model.tif	38	28	213264.85889714077	689870.3526010955	4.0	37.25	POINT (14.623725213887473 53.993515626169604)	0.0	1.0
3	100.00000000004226	29	dem_sample_model.tif	38	29	213265.2118179036	689869.4169478823	4.0	37.06	POINT (14.623731464217014 53.99350743446947)	0.0	1.0
3	100.00000000004226	30	dem_sample_model.tif	39	29	213265.56473866635	689868.4812946692	6.0	35.47	POINT (14.623737714544028 53.993499242768934)	0.0	1.0
3	100.00000000004226	31	dem_sample_model.tif	39	29	213265.9176594292	689867.5456414561	6.0	35.47	POINT (14.623743964868511 53.993491051068034)	0.0	1.0
3	100.00000000004226	32	dem_sample_model.tif	39	29	213266.270580192	689866.6099882431	6.0	35.47	POINT (14.623750215190466 53.99348285936675)	0.0	1.0
3	100.00000000004226	33	dem_sample_model.tif	40	29	213266.6235009548	689865.6743350299	7.0	32.51	POINT (14.62375646550989 53.99347466766509)	0.0	1.0
3	100.00000000004226	34	dem_sample_model.tif	40	30	213266.9764217176	689864.7386818168	7.0	33.95	POINT (14.623762715826784 53.99346647596303)	0.0	1.0
3	100.00000000004226	35	dem_sample_model.tif	41	30	213267.3293424804	689863.8030286038	9.0	35.47	POINT (14.623768966141146 53.99345828426061)	0.0	1.0
3	100.00000000004226	36	dem_sample_model.tif	41	30	213267.6822632432	689862.8673753906	9.0	35.47	POINT (14.62377521645298 53.9934500925578)	0.0	1.0
3	100.00000000004226	37	dem_sample_model.tif	42	30	213268.03518400603	689861.9317221775	10.0	32.51	POINT (14.623781466762289 53.99344190085461)	0.0	1.0
3	100.00000000004226	38	dem_sample_model.tif	42	30	213268.3881047688	689860.9960689645	10.0	32.51	POINT (14.623787717069062 53.99343370915105)	0.0	1.0
3	100.00000000004226	39	dem_sample_model.tif	43	30	213268.74102553164	689860.0604157513	11.0	35.47	POINT (14.62379396737331 53.99342551744709)	0.0	1.0
3	100.00000000004226	40	dem_sample_model.tif	43	31	213269.09394629445	689859.1247625382	12.0	38.33	POINT (14.623800217675026 53.99341732574276)	0.0	1.0
3	100.00000000004226	41	dem_sample_model.tif	44	31	213269.44686705727	689858.1891093252	13.0	38.33	POINT (14.623806467974207 53.99340913403806)	0.0	1.0
3	100.00000000004226	42	dem_sample_model.tif	44	31	213269.79978782003	689857.2534561121	13.0	38.33	POINT (14.623812718270866 53.99340094233296)	0.0	1.0
3	100.00000000004226	43	dem_sample_model.tif	45	31	213270.15270858287	689856.3178028989	15.0	33.95	POINT (14.623818968564994 53.99339275062748)	0.0	1.0
3	100.00000000004226	44	dem_sample_model.tif	45	31	213270.5056293457	689855.3821496859	15.0	33.95	POINT (14.62382521885659 53.99338455892163)	0.0	1.0
3	100.00000000004226	45	dem_sample_model.tif	46	31	213270.8585501085	689854.4464964728	16.0	38.33	POINT (14.623831469145657 53.9933763672154)	0.0	1.0
3	100.00000000004226	46	dem_sample_model.tif	46	32	213271.2114708713	689853.5108432596	16.0	38.33	POINT (14.623837719432196 53.99336817550878)	0.0	1.0
3	100.00000000004226	47	dem_sample_model.tif	46	32	213271.5643916341	689852.5751900466	16.0	38.33	POINT (14.623843969716201 53.99335998380178)	0.0	1.0
3	100.00000000004226	48	dem_sample_model.tif	47	32	213271.9173123969	689851.6395368335	18.0	44.66	POINT (14.623850219997683 53.9933517920944)	0.0	1.0
3	100.00000000004226	49	dem_sample_model.tif	47	32	213272.2702331597	689850.7038836203	18.0	44.66	POINT (14.62385647027663 53.99334360038664)	0.0	1.0
3	100.00000000004226	50	dem_sample_model.tif	48	32	213272.62315392253	689849.7682304073	20.0	36.09	POINT (14.623862720553047 53.99333540867851)	0.0	1.0
3	100.00000000004226	51	dem_sample_model.tif	48	33	213272.9760746853	689848.8325771942	21.0	30.66	POINT (14.62386897082694 53.99332721696999)	0.0	1.0
3	100.00000000004226	52	dem_sample_model.tif	49	33	213273.32899544816	689847.8969239811	21.0	7.13	POINT (14.623875221098299 53.993319025261094)	0.0	1.0
3	100.00000000004226	53	dem_sample_model.tif	49	33	213273.68191621092	689846.961270768	21.0	7.13	POINT (14.623881471367127 53.9933108335518)	0.0	1.0
3	100.00000000004226	54	dem_sample_model.tif	50	33	213274.03483697376	689846.0256175549	20.0	15.62	POINT (14.623887721633432 53.99330264184213)	0.0	1.0
3	100.00000000004226	55	dem_sample_model.tif	50	33	213274.38775773655	689845.0899643418	20.0	15.62	POINT (14.623893971897202 53.9932944501321)	0.0	1.0
3	100.00000000004226	56	dem_sample_model.tif	51	33	213274.7406784994	689844.1543111287	20.0	5.05	POINT (14.623900222158445 53.99328625842167)	0.0	1.0
3	100.00000000004226	57	dem_sample_model.tif	51	34	213275.09359926215	689843.2186579156	20.0	0.0	POINT (14.623906472417156 53.99327806671086)	0.0	1.0
3	100.00000000004226	58	dem_sample_model.tif	52	34	213275.446520025	689842.2830047025	20.0	0.0	POINT (14.623912722673337 53.99326987499968)	0.0	1.0
3	100.00000000004226	59	dem_sample_model.tif	52	34	213275.7994407878	689841.3473514895	20.0	0.0	POINT (14.623918972926989 53.99326168328811)	0.0	1.0
3	100.00000000004226	60	dem_sample_model.tif	53	34	213276.15236155063	689840.4116982763	20.0	0.0	POINT (14.623925223178112 53.993253491576155)	0.0	1.0
3	100.00000000004226	61	dem_sample_model.tif	53	34	213276.50528231345	689839.4760450632	20.0	0.0	POINT (14.623931473426707 53.99324529986383)	0.0	1.0
3	100.00000000004226	62	dem_sample_model.tif	53	34	213276.85820307623	689838.5403918502	20.0	0.0	POINT (14.62393772367277 53.99323710815113)	0.0	1.0
3	100.00000000004226	63	dem_sample_model.tif	54	35	213277.21112383905	689837.604738637	20.0	0.0	POINT (14.623943973916303 53.993228916438035)	0.0	1.0
3	100.00000000004226	64	dem_sample_model.tif	54	35	213277.56404460187	689836.6690854239	20.0	0.0	POINT (14.623950224157307 53.993220724724566)	0.0	1.0
3	100.00000000004226	65	dem_sample_model.tif	55	35	213277.91696536465	689835.7334322109	20.0	0.0	POINT (14.62395647439578 53.99321253301071)	0.0	1.0
3	100.00000000004226	66	dem_sample_model.tif	55	35	213278.26988612747	689834.7977789977	20.0	0.0	POINT (14.623962724631726 53.993204341296476)	0.0	1.0
3	100.00000000004226	67	dem_sample_model.tif	56	35	213278.6228068903	689833.8621257846	20.0	0.0	POINT (14.623968974865143 53.99319614958186)	0.0	1.0
3	100.00000000004226	68	dem_sample_model.tif	56	36	213278.9757276531	689832.9264725716	20.0	0.0	POINT (14.623975225096029 53.99318795786687)	0.0	1.0
3	100.00000000004226	69	dem_sample_model.tif	57	36	213279.3286484159	689831.9908193585	20.0	7.13	POINT (14.623981475324385 53.993179766151485)	0.0	1.0
3	100.00000000004226	70	dem_sample_model.tif	57	36	213279.6815691787	689831.0551661453	20.0	7.13	POINT (14.623987725550213 53.993171574435735)	0.0	1.0
3	100.00000000004226	71	dem_sample_model.tif	58	36	213280.03448994152	689830.1195129323	19.0	11.18	POINT (14.623993975773509 53.993163382719594)	0.0	1.0
3	100.00000000004226	72	dem_sample_model.tif	58	36	213280.38741070437	689829.1838597192	19.0	11.18	POINT (14.624000225994278 53.99315519100308)	0.0	1.0
3	100.00000000004226	73	dem_sample_model.tif	59	36	213280.74033146712	689828.248206506	19.0	11.18	POINT (14.624006476212513 53.99314699928617)	0.0	1.0
3	100.00000000004226	74	dem_sample_model.tif	59	37	213281.09325222997	689827.312553293	19.0	11.18	POINT (14.624012726428221 53.993138807568904)	0.0	1.0
3	100.00000000004226	75	dem_sample_model.tif	60	37	213281.4461729928	689826.3769000799	19.0	5.05	POINT (14.6240189766414 53.99313061585124)	0.0	1.0
3	100.00000000004226	76	dem_sample_model.tif	60	37	213281.7990937556	689825.4412468667	19.0	5.05	POINT (14.624025226852051 53.99312242413321)	0.0	1.0
3	100.00000000004226	77	dem_sample_model.tif	60	37	213282.1520145184	689824.5055936537	19.0	5.05	POINT (14.624031477060166 53.99311423241478)	0.0	1.0
3	100.00000000004226	78	dem_sample_model.tif	61	37	213282.5049352812	689823.5699404406	19.0	11.18	POINT (14.62403772726576 53.99310604069597)	0.0	1.0
3	100.00000000004226	79	dem_sample_model.tif	61	37	213282.857856044	689822.6342872275	19.0	11.18	POINT (14.62404397746882 53.993097848976795)	0.0	1.0
3	100.00000000004226	80	dem_sample_model.tif	62	38	213283.2107768068	689821.6986340143	19.0	0.0	POINT (14.624050227669349 53.99308965725723)	0.0	1.0
3	100.00000000004226	81	dem_sample_model.tif	62	38	213283.5636975696	689820.7629808013	19.0	0.0	POINT (14.62405647786735 53.99308146553727)	0.0	1.0
3	100.00000000004226	82	dem_sample_model.tif	63	38	213283.9166183324	689819.8273275882	19.0	0.0	POINT (14.62406272806282 53.99307327381695)	0.0	1.0
3	100.00000000004226	83	dem_sample_model.tif	63	38	213284.26953909523	689818.891674375	19.0	0.0	POINT (14.624068978255764 53.993065082096244)	0.0	1.0
3	100.00000000004226	84	dem_sample_model.tif	64	38	213284.62245985804	689817.956021162	19.0	0.0	POINT (14.624075228446177 53.99305689037516)	0.0	1.0
3	100.00000000004226	85	dem_sample_model.tif	64	39	213284.97538062083	689817.0203679489	19.0	0.0	POINT (14.624081478634059 53.99304869865369)	0.0	1.0
3	100.00000000004226	86	dem_sample_model.tif	65	39	213285.32830138365	689816.0847147357	19.0	0.0	POINT (14.624087728819411 53.993040506931834)	0.0	1.0
3	100.00000000004226	87	dem_sample_model.tif	65	39	213285.6812221465	689815.1490615227	19.0	0.0	POINT (14.624093979002234 53.99303231520961)	0.0	1.0
3	100.00000000004226	88	dem_sample_model.tif	66	39	213286.03414290928	689814.2134083096	19.0	0.0	POINT (14.62410022918253 53.993024123487004)	0.0	1.0
3	100.00000000004226	89	dem_sample_model.tif	66	39	213286.38706367207	689813.2777550966	19.0	0.0	POINT (14.62410647936029 53.993015931764006)	0.0	1.0
3	100.00000000004226	90	dem_sample_model.tif	67	39	213286.73998443488	689812.3421018834	19.0	0.0	POINT (14.624112729535529 53.99300774004063)		
3	100.00000000004226	91	dem_sample_model.tif	67	40	213287.0929051977	689811.4064486703	19.0	0.0	POINT (14.624118979708232 53.99299954831688)		
3	100.00000000004226	92	dem_sample_model.tif	68	40	213287.4458259605	689810.4707954573	19.0	0.0	POINT (14.624125229878407 53.992991356592746)		
3	100.00000000004226	93	dem_sample_model.tif	68	40	213287.7987467233	689809.5351422441	19.0	0.0	POINT (14.624131480046056 53.992983164868235)		
3	100.00000000004226	94	dem_sample_model.tif	68	40	213288.1516674861	689808.599489031	19.0	0.0	POINT (14.624137730211167 53.99297497314333)		
3	100.00000000004226	95	dem_sample_model.tif	69	40	213288.5045882489	689807.663835818	19.0	0.0	POINT (14.624143980373757 53.99296678141805)		
3	100.00000000004226	96	dem_sample_model.tif	69	40	213288.85750901172	689806.7281826049	19.0	0.0	POINT (14.624150230533814 53.99295858969241)		
3	100.00000000004226	97	dem_sample_model.tif	70	41	213289.2104297745	689805.7925293917	19.0	0.0	POINT (14.62415648069134 53.99295039796636)		
3	100.00000000004226	98	dem_sample_model.tif	70	41	213289.56335053736	689804.8568761786	19.0	0.0	POINT (14.62416273084634 53.99294220623994)		
3	100.00000000004226	99	dem_sample_model.tif	71	41	213289.91627130017	689803.9212229656	19.0	0.0	POINT (14.62416898099881 53.99293401451314)		
